id,completion_date,group,user,job_id,tool,host,duration,queue_time,status,resources1,resources2,resources3,resources4,resources5
44160,16/07/2023 18:01:35,/proj/vm.evyatarc,evyatarc,6214859,vm_remote_job2,hl-xn126,14s,14s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44161,16/07/2023 18:01:39,/proj/vm.evyatarc,evyatarc,6214861,vm_remote_job2,hl-xn137,17s,12s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44162,16/07/2023 18:01:39,/proj/vm.evyatarc,evyatarc,6214865,vm_remote_job2,hl-xn134,15s,8s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44163,16/07/2023 18:01:45,/proj/vm.evyatarc,evyatarc,6214867,vm_remote_job2,hl-xn127,14s,12s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44164,16/07/2023 18:01:47,/proj/vm.sharonr,sharonr,6214637,vm_remote_job2,hl-xn126,8m22s,17s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44165,16/07/2023 18:01:52,/proj/vm.evyatarc,evyatarc,6214869,vm_remote_job2,hl-xn137,13s,16s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44166,16/07/2023 18:01:53,/proj/vm.sharonr,sharonr,6214659,vm_remote_job2,hl-xn134,7m35s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44167,16/07/2023 18:01:53,/proj/vm.evyatarc,evyatarc,6214871,vm_remote_job2,hl-xn134,14s,15s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44168,16/07/2023 18:01:58,/proj/vm.evyatarc,evyatarc,6214873,vm_remote_job2,hl-xn127,13s,20s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44169,16/07/2023 18:02:00,/proj/vm.evyatarc,evyatarc,6214879,vm_remote_job2,hl-xn126,13s,15s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44170,16/07/2023 18:02:01,/proj/users.danielp,danielp,6214562,xrun,hl-xn137,12m06s,29s,Done,CORES/1,RAM/10000,,,
44171,16/07/2023 18:02:02,/proj/users.moshez,moshez,6214810,vmanager,hl-xn137,1m39s,2s,Done,CORES/1,RAM/1536,,,
44172,16/07/2023 18:02:06,/proj/vm.evyatarc,evyatarc,6214889,vm_remote_job2,hl-xn134,13s,21s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44173,16/07/2023 18:02:09,/proj/vm.evyatarc,evyatarc,6214899,vm_remote_job2,hl-xn134,16s,19s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44174,16/07/2023 18:02:12,/proj/vm.evyatarc,evyatarc,6214901,vm_remote_job2,hl-xn127,14s,23s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44175,16/07/2023 18:02:14,/proj/vm.evyatarc,evyatarc,6214903,vm_remote_job2,hl-xn126,14s,18s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44176,16/07/2023 18:02:15,/proj/vm.evyatarc,evyatarc,6214905,vm_remote_job2,hl-xn137,14s,19s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44177,16/07/2023 18:02:20,/proj/vm.sharonr,sharonr,6214715,vm_remote_job2,hl-xn124,5m10s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44178,16/07/2023 18:02:22,/proj/vm.juser-vlsi,juser-vlsi,6214698,vm_remote_job2,hl-xn121,5m29s,0s,Done,CORES/1,RAM/40000,License:Xcelium_Single_Core#1,,
44179,16/07/2023 18:02:22,/proj/vm.evyatarc,evyatarc,6214915,vm_remote_job2,hl-xn134,16s,18s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44180,16/07/2023 18:02:22,/proj/vm.yasmineh,yasmineh,6214545,vm_remote_job2,hl-xn134,12m00s,2m36s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44181,16/07/2023 18:02:23,/proj/vm.evyatarc,evyatarc,6214917,vm_remote_job2,hl-xn134,14s,14s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44182,16/07/2023 18:02:27,/proj/vm.evyatarc,evyatarc,6214919,vm_remote_job2,hl-xn127,15s,16s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44183,16/07/2023 18:02:29,/proj/vm.evyatarc,evyatarc,6214923,vm_remote_job2,hl-xn137,14s,15s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44184,16/07/2023 18:02:32,/proj/vm.evyatarc,evyatarc,6214925,vm_remote_job2,hl-xn124,12s,13s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44185,16/07/2023 18:02:34,/proj/vm.evyatarc,evyatarc,6214927,vm_remote_job2,hl-xn121,12s,10s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44186,16/07/2023 18:02:36,/proj/vm.evyatarc,evyatarc,6214929,vm_remote_job2,hl-xn134,14s,10s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44187,16/07/2023 18:02:36,/proj/vm.evyatarc,evyatarc,6214921,vm_remote_job2,hl-xn126,22s,16s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44188,16/07/2023 18:02:38,/proj/vm.evyatarc,evyatarc,6214931,vm_remote_job2,hl-xn134,16s,8s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44189,16/07/2023 18:02:38,/proj/vm.evyatarc,evyatarc,6214933,vm_remote_job2,hl-xn134,15s,8s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44190,16/07/2023 18:02:41,/proj/vm.evyatarc,evyatarc,6214941,vm_remote_job2,hl-xn137,12s,5s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44191,16/07/2023 18:02:44,/proj/vm.juser-vlsi,juser-vlsi,6214598,vm_remote_job2,hl-xn137,11m25s,0s,Done,CORES/1,RAM/10000,,,
44192,16/07/2023 18:02:49,/proj/vm.sharonr,sharonr,6214692,vm_remote_job2,hl-xn134,6m02s,0s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44193,16/07/2023 18:02:51,/proj/vm.evyatarc,evyatarc,6214950,vm_remote_job2,hl-xn121,17s,7s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
44194,16/07/2023 18:02:51,/proj/vm.evyatarc,evyatarc,6214948,vm_remote_job2,hl-xn124,19s,6s,Done,CORES/1,RAM/4000,License:Xcelium_Single_Core#1,,
